"ID","","","","","","","","","","","","TaxonLevel","","","","","","","","","","","","","","","","","","","","","","<i>Genus Species </i>"
"14200901","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Cephalophus weynsi </i>"
"14200902","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>doria</i> <i> doriae </i> <i> zebrata</i>","<i>a</i>","","","","<i>Cephalophus zebra </i>"
"14200903","","","","","","","","","","","","GENUS","","","","","","","<i>In</i>","","","","","<i>Antilope philantomba </i> <i>Antilope maxwellii </i>","","","","","<i>Guevei</i>","","","","",""
"14200904","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","<i>Cephalophus maxwellii</i>","<i>frederici</i> <i> liberiensis </i> <i> lowei </i> <i>philantomba </i> <i> whitfieldi </i> <i>danei</i> <i> </i>","<i>P. monticola</i>","","","","<i>Philantomba maxwellii </i>"
"14200905","","","","","","","","","","","","SUBSPECIES","","","","","","","<i>In</i>","","","","","","","","","","","","","","","<i>Philantomba maxwellii </i>"
"14200906","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba maxwellii </i>"
"14200907","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Cephalophus monticola</i> <i>Cepalophus monticola</i>","<i>caerula</i> <i> caffer </i> <i> minuta </i> <i>perpusilla </i> <i> pygmea </i> <i>aequatorialis</i> <i> </i> <i> aequinoctialis </i> <i>bakeri </i> <i> <b>anchietae </b></i> <i> bicolor </i> <i> fuscicolor </i> <i> ruddi </i> <i> <b>congicus </b></i> <i>schultzei </i> <i> <b>defriesi </b></i> <i> </i> <i>ludlami </i> <i> <b>hecki </b></i> <i> nyasae </i> <i> <b>lugens </b></i> <i>schusteri</i> <i> melanorheus </i> <i> <b>musculoides </b></i> <i>simpsoni </i> <i> <b>sundevalli</b></i> <i>pembae </i>","<i>maxwellii</i> <i>melanorheus</i> <i>aequatorialis,</i> <i>congicus, lugens, musculoides, </i> <i>sundevalli</i> <i>monticola </i> <i>anchietae, bicolor, defriesi, hecki, </i> <i>simpsoni</i> <i>b</i> <i>pembae </i> <i>melanorheus</i>","","","","<i>Philantomba monticola </i>"
"14200908","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200909","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200910","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200911","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200912","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200913","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200914","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200915","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200916","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200917","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200918","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200919","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philantomba monticola </i>"
"14200920","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Antilope mergens</i> <i>Capra grimmia</i>","","","","","<i>Cephalophora</i> <i> Grimmia </i>","<i>Cephalophus</i> <i>b</i>","","","",""
"14200921","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>a</i>","","","<i>burchellii</i> <i>cana </i> <i> mergens </i> <i> nictitans </i> <i> platous </i> <i> ptoox </i> <i> <b>altivallis</b></i> <i> <b>caffra</b> </i> <i> irrorata </i> <i> noomei </i> <i>transvaalensis </i> <i> <b>campbelliae</b> </i> <i> roosevelti </i> <i> <b>coronata </b></i> <i> <b>hindei</b> </i> <i> <b>lobeliarum </b></i> <i> <b>madoqua</b> </i> <i> abyssinica </i> <i> <b>nyansae</b> </i> <i> lutea </i> <i>orbicularis</i> <i> </i> <i>altifrons </i> <i> deserti </i> <i>ocularis </i> <i> shirensis </i> <i> walkeri </i> <i>pallidior </i> <i> platyotis </i> <i>splendidula</i> <i> </i> <i> flavescens </i> <i> leucoprosopus </i> <i> uvirensis </i> <i> <b>steinhardti</b> </i> <i> bradfieldi </i> <i> </i> <i>cunenensis </i> <i> omurambae </i> <i> ugabensis </i> <i> vernayi </i>","","","","","<i>Sylvicapra grimmia </i>"
"14200922","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","<i>a</i>","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200923","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200924","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200925","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200926","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200927","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200928","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200929","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200930","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200931","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200932","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200933","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200934","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Sylvicapra grimmia </i>"
"14200935","","","","","","","","","","","","SUBFAMILY","","","","","","","","","","","","","","","","","","<i>Hippotragus</i> <i>in </i> <i>Hippotragus</i> <i>Oryx, Addax</i> <i> </i> <i>a</i>","","","",""
"14200936","","","","","","","","","","","","GENUS","","","","","","","<i>In</i>","","","","","<i>Antelope suturosa </i> <i>Cerophorus nasomaculatus</i>","","","","","<i>Addax</i> <i>nomen nudum</i>","","","","",""
"14200937","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>addax</i> <i> gibbosa </i> <i> mytilopes </i> <i> suturosa </i>","<i>b</i>","","","","<i>Addax nasomaculatus </i>"
"14200938","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Antilope equina </i>","","","","","<i>Aegocera</i> <i>Aegocoerus </i> <i>Aigererus </i> <i>nomen oblitum</i> <i>Aigocerus </i> <i>Egocerus </i> <i> Oegocerus </i> <i>Ozanna </i>","<i>Hippotragus</i> <i>Hippotragus</i> <i>in </i> <i>c</i> <i>Hippotragus </i> <i>c</i> <i>leucophaeus</i> <i>niger </i> <i>equinus</i> <i>niger</i> <i>equinus</i> <i>leucophaeus</i>","","","",""
"14200939","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>aethiopica</i> <i> aurita </i> <i> barbata </i> <i> jubata </i> <i> truteri </i> <i>typicus </i> <i>bakeri </i> <i> dogetti</i> <i> <b>cottoni</b> </i> <i> <b>koba </b></i> <i> docoi </i> <i> gambianus </i> <i> <b>langheldi </b></i> <i> rufopallidus </i> <i> <b>scharicus</b> </i>","<i>a</i> <i>b</i>","","","","<i>Hippotragus equinus </i>"
"14200940","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Hippotragus equinus </i>"
"14200941","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Hippotragus equinus </i>"
"14200942","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Hippotragus equinus </i>"
"14200943","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Hippotragus equinus </i>"
"14200944","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Hippotragus equinus </i>"
"14200945","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Hippotragus equinus </i>"
"14200946","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>capensis</i> <i> glauca</i>","","","","","<i>Hippotragus leucophaeus </i>"
"14200947","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","<i>variani</i> <i> </i>","<i>H. niger variani</i> <i>H</i> <i>n</i> <i>variani</i> <i>H. n. variani</i>","<i>harrisi</i> <i> kaufmanni </i> <i> </i> <i>kirkii<b> </b></i> <i> anselli </i> <i> roosevelti </i> <i> variani </i>","<i>variani</i> <i>niger, kirkii</i> <i>variani</i> <i>roosevelti</i> <i>roosevelti</i> <i> </i> <i>niger</i> <i>kirkii</i> <i>roosevelti</i> <i>a</i> <i>anselli </i> <i>niger</i>","","","","<i>Hippotragus niger </i>"
"14200948","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Hippotragus niger </i>"
"14200949","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Hippotragus niger </i>"
"14200950","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Hippotragus niger </i>"
"14200951","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Hippotragus niger </i>"
"14200952","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Antilope oryx</i> <i>Capra gazella</i>","","","","","<i>Aegoryx</i> <i>Onyx </i>","","","","",""
"14200953","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>O. gazella beisa</i>","<i>annectens</i> <i> gallarum </i> <i> subcallotis </i> <i>callotis</i> <i> </i>","<i>gazella</i> <i>b</i>","","","","<i>Oryx beisa </i>"
"14200954","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Oryx beisa </i>"
"14200955","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Oryx beisa </i>"
"14200956","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","<i>algazel</i> <i> bezoastica </i> <i>ensicornis </i> <i> nubica </i> <i> senegalensis </i> <i> tao</i>","<i>tao</i> <i>algazel</i> <i>b</i>","","","","<i>Oryx dammah </i>"
"14200957","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>a</i>","","","<i>aschenborni</i> <i> bezoartica </i> <i> blainei </i> <i>capensis </i> <i>onyx </i> <i>oryx </i> <i>pasan</i> <i> recticornis </i>","","","","","<i>Oryx gazella </i>"
"14200958","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>b</i>","","","<i>asiatica</i> <i> beatrix </i> <i> latipes</i> <i> leucorix </i> <i>oryx </i> <i>pallasii</i>","<i>O</i> <i>gazella</i>","","","","<i>Oryx leucoryx </i>"
"14200959","","","","","","","","","","","","SUBFAMILY","","","","","","","","","","","","","","","","","<i>nomen oblitum</i> <i>nomen oblitum</i>","<i>Pelea</i> <i>a</i> <i>Pelea</i> <i>Kobus </i> <i>Redunca</i> <i>Pelea </i> <i>Kobus </i> <i>Redunca</i> <i>Pelea.</i>","","","",""
"14200960","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Antilope ellipsiprymnus</i>","","","","","<i>Adenota<b> </b></i> <i> Cobus </i> <i> Hydrotragus </i> <i> Kolus</i> <i> Onotragus </i> <i> Onototragus </i> <i>Pseudokobus </i> <i>Robus </i>","<i>Adenota</i> <i>Onotragus</i> <i>K. kob </i> <i>Adenota</i> <i> K. vardonii, </i> <i>K.</i> <i>leche</i> <i>Hydrotragus</i> <i> K. megaceros</i> <i> K. ellipsiprymnus</i> <i>Kobus </i> <i> </i> <i>K. vardonii</i> <i>K. kob</i> <i>K. leche, K. megaceros</i> <i>K. ellipsprymnus</i> <i>kob </i> <i>K. leche, K. megaceros</i> <i>K. kob, K. vardonii</i> <i>K. ellipsprymnus</i> <i> </i>","","","",""
"14200961","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>K. ellipsiprymnus</i> <i>K. e. defassa </i> <i>K. e. ellipsiprymnus</i>","<i>ellipsiprymnos</i> <i>adolfifriderici</i> <i>fulvifrons </i> <i> nzoiae </i> <i> raineyi </i> <i>annectens</i> <i> </i> <i> schubotzi </i> <i>crawshayi </i> <i> frommi </i> <i> muenzneri </i> <i> uwendensis</i> <i>defassa </i> <i> abyssinica </i> <i> hawashensis </i> <i> matschiei </i> <i> singsing </i> <i>harnieri</i> <i> </i> <i> albertensis </i> <i> avellanifrons </i> <i> breviceps </i> <i> cottoni </i> <i> dianae </i> <i> griseotinctus </i> <i> ladoensis </i> <i> ugandae </i> <i>kondensis</i> <i> </i> <i> kulu </i> <i> lipuwa </i> <i>pallidus </i> <i>penricei</i> <i> </i> <i>thikae</i> <i> </i> <i> canescens </i> <i> kuru </i> <i>tjaederi</i> <i> </i> <i> angusticeps </i> <i> powelli </i> <i>tschadensis</i> <i> </i> <i> <b>unctuosus </b></i> <i>senegalensis </i> <i> togoensis </i>","<i>ellipsiprymnus</i> <i>kondensis, pallidus </i> <i>thikae</i> <i>defassa </i> <i>b</i> <i>a</i> <i>crawshayi</i>","","","","<i>Kobus ellipsiprymnus </i>"
"14200962","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200963","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200964","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200965","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200966","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200967","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200968","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200969","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200970","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200971","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200972","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200973","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200974","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus ellipsiprymnus </i>"
"14200975","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>K. kob </i> <i>K. k. kob </i> <i>K. k. thomasi</i> <i>K. k. leucotis</i>","<i>adansoni</i> <i> adenota </i> <i> annulipes </i> <i> buffonii </i> <i>forfex </i> <i> fraseri </i> <i> loderi </i> <i>nigricans </i> <i>typicus </i> <i>adolfi</i> <i> </i> <i>adolfifriderici</i> <i>bahrkeetae</i> <i> </i> <i> <b>leucotis </b></i> <i> kul </i> <i>nigroscapulatus </i> <i>notatus</i> <i> vaughani </i> <i>wuil </i> <i> <b>pousarguesi</b></i> <i> <b>riparia </b></i> <i> <b>thomasi</b> </i> <i> </i> <i>alurae </i> <i> neumanni </i> <i> <b>ubangiensis</b> </i>","","","","","<i>Kobus kob </i>"
"14200976","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus kob </i>"
"14200977","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus kob </i>"
"14200978","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus kob </i>"
"14200979","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus kob </i>"
"14200980","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus kob </i>"
"14200981","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus kob </i>"
"14200982","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus kob </i>"
"14200983","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus kob </i>"
"14200984","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>K. l. robertsi</i> <i>K. l. kafuensis </i> <i>K. l. smithemani</i> <i>K. l. leche</i>","<i>amboellensis</i> <i> lechee </i> <i> leechi </i> <i>lechwe </i> <i>notatus</i> <i>kafuensis </i> <i> grandicornis </i> <i>robertsi </i> <i>smithemani</i>","<i>a</i> <i>K. leche, K. kafuensis, K. robertsi</i> <i>K.</i> <i>smithemani</i>","","","","<i>Kobus leche </i>"
"14200985","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus leche </i>"
"14200986","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus leche </i>"
"14200987","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus leche </i>"
"14200988","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus leche </i>"
"14200989","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>maria</i>","","","","","<i>Kobus megaceros </i>"
"14200990","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>typicus</i> <i>senganus</i> <i> </i>","<i>kob</i> <i>kob </i> <i>vardoni </i> <i>a</i> <i>senganus</i>","","","","<i>Kobus vardonii </i>"
"14200991","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus vardonii </i>"
"14200992","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Kobus vardonii </i>"
"14200993","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Antilopa</i> <i>capreolus</i>","","","","","<i>Antilopa</i> <i>nomen oblitum</i>","","","","",""
"14200994","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","<i>lanata</i> <i> villosa </i>","","","","","<i>Pelea capreolus </i>"
"14200995","","","","","","","","","","","","GENUS","","","","","","","<i>In</i>","","","","","<i>Antilope redunca</i>","","","","","<i>Cervicapra</i> <i> Eleotragus </i> <i> Heleotragus </i> <i>Nagor </i> <i>Oreodorcas </i>","<i>R. fulvorufula</i> <i>R. redunca, R. arundinum</i> <i>.</i>","","","",""
"14200996","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>algoensis</i> <i> arundinacea </i> <i>caffra </i> <i> cinerea </i> <i>coerulescens </i> <i>nomen nudum</i> <i>eleotragus </i> <i> isabellina </i> <i>multiannulata </i> <i> occidentalis </i> <i> oleotragus </i> <i>oreotragus </i> <i>penricei </i> <i> thomasinae</i>","","","","","<i>Redunca arundinum </i>"
"14200997","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>a</i>","","<i>R. f. adamauae</i> <i> R. f. fulvorufula</i> <i>R. f. chanleri</i>","<i>lalandia</i> <i>landiana </i> <i>subalpina </i> <i>adamauae </i> <i> chanleri</i> <i> </i> <i> schoana </i>","","","","","<i>Redunca fulvorufula </i>"
"14200998","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","<i>a</i>","","","","","","","","<i>Redunca fulvorufula </i>"
"14200999","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Redunca fulvorufula </i>"
"14201000","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Redunca fulvorufula </i>"
"14201001","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>nagor</i> <i> reversa </i> <i>ridunca </i> <i>rufa </i> <i> typica </i> <i>bohor</i> <i> </i> <i> odrob </i> <i> <b>cottoni</b> </i> <i> donaldsoni </i> <i> <b>dianae </b></i> <i> nigeriensis</i> <i> </i> <i> <b>tohi</b> </i> <i> <b>wardi</b> </i> <i>bayoni </i> <i> ugandae </i>","","","","","<i>Redunca redunca </i>"
"14201002","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Redunca redunca </i>"
"14201003","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Redunca redunca </i>"
"14201004","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Redunca redunca </i>"
"14201005","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Redunca redunca </i>"
"14201006","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Redunca redunca </i>"
"14201007","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Redunca redunca </i>"
"14201008","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Redunca redunca </i>"
"14300001","","","","","","","","","","","","ORDER","","","","","","","","","","","","","","","","","","","","","",""
"14300002","","","","","","","","","","","","SUBORDER","","","","","","","","","","","","","","","","","","","","","",""
"14300003","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","<i>Caperea</i>","","","",""
"14300004","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Balaena mysticetus</i>","","","","","<i>Leiobalaena</i>","","","","",""
"14300005","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>B. mysticetus</i>","","","","","","<i>Balaena mysticetus </i>"
"14300006","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Balaena australis</i>","","","","","<i>Halibalaena</i> <i>Hunterius </i>","","","","",""
"14300007","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","<i>E. glacialis</i>","<i>antarctica</i> <i>antipodarum</i> <i>temminckii</i>","<i>b</i> <i>glacialis</i>","","","","<i>Eubalaena australis </i>"
"14300008","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>biscayensis</i> <i>nordcaper</i>","<i>b</i> <i>b</i>","","","","<i>Eubalaena glacialis </i>"
"14300009","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>E. glacialis</i>","<i>sieboldii</i>","<i>b</i>","","","","<i>Eubalaena japonica </i>"
"14300010","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","","","","",""
"14300011","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Balaenoptera gibbar</i> <i>Balaena physalus</i>","","","","","<i>Catoptera</i> <i>Cuvierius</i> <i>Physalus</i> <i>Pterobalaena</i> <i>Rorqualus</i> <i>Sibbaldius</i>","","","","",""
"14300012","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>davidsoni</i> <i>minima</i> <i>rostrata</i>","<i>Eschrichtius davidsonii</i> <i>Balaenoptera, </i> <i>B. davidson</i> <i>Balaenoptera acutorostrata scammoni</i> <i>B. a. scammoni </i> <i>B. a.</i>","","","","<i>Balaenoptera acutorostrata </i>"
"14300013","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>huttoni</i>","","","","","<i>Balaenoptera bonaerensis </i>"
"14300014","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","<i>B. edeni</i>","","<i>rostrata</i> <i>schlegelii</i>","<i>a</i> <i>B. borealis borealis</i> <i>B. borealis schlegelii</i>","","","","<i>Balaenoptera borealis </i>"
"14300015","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Balaenoptera borealis </i>"
"14300016","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Balaenoptera borealis </i>"
"14300017","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","<i>B. borealis</i>","","<i>brydei</i> <i>omurai</i>","<i>a</i> <i>B. edeni</i> <i>B. brydei</i> <i>B. edeni</i> <i>B</i> <i>edeni</i> <i>Balaenoptera omurai</i> <i>B</i> <i>edeni</i> <i>B. brydei</i> <i>B. omurai</i> <i>Balaenoptera</i>","","","","<i>Balaenoptera edeni </i>"
"14300018","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>B. m. intermedia</i> <i>B. m. brevicauda</i> <i>B. musculus </i> <i> </i>","<i>gigas</i> <i>major</i> <i>sibbaldii</i> <i>brevicauda</i> <i>nomen nudum</i> <i>indica</i> <i>intermedia</i> <i>sulfureus</i>","<i>B. m. musculus</i> <i>B. m. indica </i> <i>B. m. brevicauda</i> <i>B. m. intermedia</i>","","","","<i>Balaenoptera musculus </i>"
"14300019","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Balaenoptera musculus </i>"
"14300020","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","<i>nomen nudum</i>","","","","<i>Balaenoptera musculus </i>"
"14300021","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Balaenoptera musculus </i>"
"14300022","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Balaenoptera musculus </i>"
"14300023","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>a</i>","","","<i>antiquorum</i> <i>boops</i> <i>gibbar</i> <i>velifera</i> <i>quoyi</i> <i>patachonica</i>","<i>b</i> <i>B. b.</i> <i>quoyi</i>","","","","<i>Balaenoptera physalus </i>"
"14300024","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","<i>a</i>","","","","","","","","<i>Balaenoptera physalus </i>"
"14300025","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Balaenoptera physalus </i>"
"14300026","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Megaptera longipinna</i> <i>Balaena novaeangliae</i>","","","","","<i>Cyphobalaena</i> <i>Kyphobalaena</i> <i>Perqualus</i> <i>Poescopia</i>","","","","",""
"14300027","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>braziliensis</i> <i>burmeisteri</i> <i>indica</i> <i>lalandii</i> <i>longimana</i> <i>longipinna</i> <i>nodosa</i> <i>osphya</i> <i>versabilis</i>","","","","","<i>Megaptera novaeangliae </i>"
